job_link,job_title,comp_name,location,expire_date,update_date,staff_type,salary,job_level,sal_min,sal_max,currency,exp_min,exp_max,exp_measurement,location_Hà Nội,location_Hồ Chí Minh,location_Tây Ninh,location_Bắc Ninh,location_Hưng Yên,location_Bình Dương,location_Hậu Giang,location_Đà Nẵng,location_Bà Rịa - Vũng Tàu,location_Hải Phòng,location_Quốc tế,location_Hải Dương,location_Bình Phước,industry_CNTT - Phần mềm,industry_CNTT - Phần cứng / Mạng,industry_Ngân hàng,industry_Quản lý chất lượng (QA/QC),industry_Kế toán / Kiểm toán,industry_Dệt may / Da giày / Thời trang,industry_Ngành khác,industry_Thống kê,industry_Bán hàng / Kinh doanh,industry_Quản lý điều hành,industry_Tài chính / Đầu tư,industry_Nhân sự,industry_Nội ngoại thất,industry_Hành chính / Thư ký,industry_Cơ khí / Ô tô / Tự động hóa,industry_Vận chuyển / Giao nhận /Kho vận,industry_Xuất nhập khẩu,industry_Sản xuất / Vận hành sản xuất,industry_Luật / Pháp lý,industry_Dịch vụ khách hàng,industry_Tiếp thị / Marketing,industry_Bán lẻ / Bán sỉ,industry_Tiếp thị trực tuyến,industry_Mới tốt nghiệp / Thực tập,industry_Bất động sản,industry_Bảo trì / Sửa chữa,industry_Tư vấn,industry_Chứng khoán,industry_Điện / Điện tử / Điện lạnh,industry_Bảo hiểm,industry_Mỹ thuật / Nghệ thuật / Thiết kế,industry_Quảng cáo / Đối ngoại / Truyền Thông,industry_In ấn / Xuất bản,industry_Giáo dục / Đào tạo,industry_Y tế / Chăm sóc sức khỏe,industry_Biên phiên dịch,industry_Nông nghiệp,industry_Thu mua / Vật tư,industry_Dược phẩm,industry_Bưu chính viễn thông,industry_Thực phẩm & Đồ uống,job_id
https://careerbuilder.vn/vi/tim-viec-lam/it-ky-su-du-lieu-bo-phan-thiet-ke-dien-dien-tu-nam-tu-liem-ha-noi-15-50-trieu.35BDEDA5.html,"[it]  kỹ sư dữ liệu ( bộ phận thiết kế điện – điện tử) nam từ liêm, hà nội (15-50 triệu)",Công Ty TNHH OS POWER Việt Nam,Hà Nội,2023-12-03,2023-11-03,Nhân viên chính thức,15 Tr - 50 Tr VND,Nhân viên,15.0,50.0,VND,3.0,4.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDEDA5
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-gia-quan-tri-du-lieu-msb-df-dxa-1m387.35BEF5DB.html,chuyên gia quản trị dữ liệu - msb df - dxa - 1m387,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (MSB),Hà Nội,2023-12-27,2023-11-27,Nhân viên chính thức,Lên đến45 Tr VND,Nhân viên,,45.0,VND,4.0,5.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEF5DB
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-alm-mang-quan-ly-du-lieu-va-bao-cao-phong-quan-ly-tai-san-no-co-alm-khoi-tai-chinh-ke-toan.35BE06C7.html,"chuyên viên alm (mảng quản lý dữ liệu và báo cáo),phòng quản lý tài sản nợ - có (alm) - khối tài chính kế toán",Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,2023-12-15,2023-11-16,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,1.0,2.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BE06C7
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-quan-tri-thu-hoi-no-va-phan-tich-du-lieu-khoi-xu-ly-va-thu-hoi-no.35BEE41E.html,chuyên viên cao cấp quản trị thu hồi nợ và phân tích dữ liệu - khối xử lý và thu hồi nợ,Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,2023-12-02,2023-11-23,Nhân viên chính thức,20 Tr - 30 Tr VND,Nhân viên,20.0,30.0,VND,3.0,5.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEE41E
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-du-lieu-va-phat-trien-bao-cao.35BE0BBC.html,chuyên viên quản trị  dữ liệu và phát triển báo cáo,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,2023-12-17,2023-11-18,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,3.0,,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BE0BBC
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-du-lieu-va-phat-trien-bao-cao.35BDD060.html,chuyên viên quản trị  dữ liệu và phát triển báo cáo,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,2023-12-17,2023-11-18,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,3.0,,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDD060
https://careerbuilder.vn/vi/tim-viec-lam/dtc-chuyen-vien-quy-trinh-va-chinh-sach-quan-tri-du-lieu.35BF06EC.html,dtc - chuyên viên quy trình và chính sách quản trị dữ liệu,Ngân hàng TMCP Phát triển TP.HCM (HDBank),Hồ Chí Minh,2023-12-29,2023-11-29,Nhân viên chính thức,27 Tr - 33 Tr VND,Nhân viên,27.0,33.0,VND,3.0,5.0,năm,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BF06EC
https://careerbuilder.vn/vi/tim-viec-lam/r-d-data-analyst-chuyen-vien-du-lieu-r-d.35BF00BC.html,r&d data analyst – chuyên viên dữ liệu r&d,CÔNG TY CỔ PHẦN MAYCHA,Hồ Chí Minh,2023-12-17,2023-11-24,Nhân viên chính thức,10 Tr - 15 Tr VND,Nhân viên,10.0,15.0,VND,2.0,,năm,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BF00BC
https://careerbuilder.vn/vi/tim-viec-lam/cv-nv-quan-tri-co-so-du-lieu-dba-khoi-cntt.35BEF9EE.html,cv/nv quản trị cơ sở dữ liệu (dba) - khối cntt,Ngân hàng Việt Nam Thương Tín,Hồ Chí Minh,2023-12-31,2023-11-28,Nhân viên chính thức,10 Tr - 30 Tr VND,Nhân viên,10.0,30.0,VND,1.0,3.0,3năm,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEF9EE
https://careerbuilder.vn/vi/tim-viec-lam/truong-phong-chien-luoc-va-phan-tich-du-lieu-ngan-hang-so-ngan-hang-so.35BE1ACE.html,trưởng phòng chiến lược và phân tích dữ liệu ngân hàng số - ngân hàng số,Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,2023-12-24,2023-11-25,Nhân viên chính thức,Cạnh tranh,Quản lý,,,,7.0,10.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BE1ACE
