job_link,job_title,comp_name,location,expire_date,update_date,staff_type,salary,job_level,sal_min,sal_max,currency,exp_min,exp_max,exp_measurement,location_Hà Nội,location_Hồ Chí Minh,location_Đồng Nai,location_Bình Dương,location_Hải Dương,location_Đà Nẵng,industry_CNTT - Phần mềm,industry_Kế toán / Kiểm toán,industry_Tài chính / Đầu tư,industry_Ngân hàng,industry_Dịch vụ khách hàng,industry_Thống kê,industry_Ngành khác,industry_Bán hàng / Kinh doanh,industry_Nhân sự,industry_Sản xuất / Vận hành sản xuất,industry_CNTT - Phần cứng / Mạng,industry_Bưu chính viễn thông,industry_Tiếp thị / Marketing,industry_Hành chính / Thư ký,industry_Tiếp thị trực tuyến,industry_Bất động sản,industry_Quản lý điều hành,industry_Bảo hiểm,industry_Biên phiên dịch,industry_Dược phẩm,industry_Chứng khoán,industry_Vận chuyển / Giao nhận /Kho vận,industry_Thu mua / Vật tư,industry_Thực phẩm & Đồ uống,industry_Mới tốt nghiệp / Thực tập,industry_Tư vấn,industry_Bán lẻ / Bán sỉ,industry_Dệt may / Da giày / Thời trang,industry_Hàng gia dụng / Chăm sóc cá nhân,industry_Luật / Pháp lý,industry_Cơ khí / Ô tô / Tự động hóa,industry_Quản lý chất lượng (QA/QC),industry_Quảng cáo / Đối ngoại / Truyền Thông,industry_Giải trí,industry_Y tế / Chăm sóc sức khỏe,job_id
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-gia-chuyen-vien-cao-cap-quan-tri-co-so-du-lieu-dba-khoi-cntt.35BDB984.html,chuyên gia/chuyên viên cao cấp quản trị cơ sở dữ liệu (dba) - khối cntt,Ngân Hàng TMCP Quân Đội,Hà Nội,2023-12-04,2023-11-05,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,5.0,8.0,năm,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDB984
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-co-so-du-lieu-phong-mis-khoi-tai-chinh-ke-toan.35BDC031.html,"chuyên viên quản trị cơ sở dữ liệu, phòng mis, khối tài chính kế toán",Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,2023-12-07,2023-11-08,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,1.0,2.0,năm,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDC031
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-co-so-du-lieu-phong-van-hanh-ung-dung-k-cntt.35BDFE75.html,chuyên viên quản trị cơ sở dữ liệu - phòng vận hành ứng dụng - k.cntt,Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,2023-12-10,2023-11-11,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,1.0,5.0,năm,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDFE75
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-co-so-du-lieu-phong-van-hanh-ung-dung-k-cntt.35BEEB4D.html,chuyên viên quản trị cơ sở dữ liệu - phòng vận hành ứng dụng - k.cntt,Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,2023-11-30,2023-11-14,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,1.0,5.0,năm,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEEB4D
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-gia-chuyen-vien-cao-cap-quan-tri-co-so-du-lieu-dba-khoi-cntt.35BEDC59.html,chuyên gia/chuyên viên cao cấp quản trị cơ sở dữ liệu (dba) - khối cntt,Ngân Hàng TMCP Quân Đội,Hà Nội,2023-11-30,2023-11-14,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,3.0,5.0,năm,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEDC59
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-co-so-du-lieu-phong-mis-khoi-tai-chinh-ke-toan.35BE13C6.html,"chuyên viên quản trị cơ sở dữ liệu, phòng mis, khối tài chính kế toán",Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,2023-11-23,2023-11-16,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,1.0,2.0,năm,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BE13C6
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-co-so-du-lieu-dba-khoi-cntt.35BE139D.html,chuyên viên quản trị cơ sở dữ liệu (dba) - khối cntt,Ngân Hàng TMCP Quân Đội,Hà Nội,2023-11-30,2023-11-13,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,1.0,5.0,năm,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BE139D
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-phan-tich-kinh-doanh-business-analyst.35BEFE0C.html,nhân viên phân tích kinh doanh (business analyst),CÔNG TY TNHH GIÁO DỤC WEGROW VIỆT NAM,Hà Nội,2023-12-31,2023-11-16,Nhân viên chính thức,12 Tr - 17 Tr VND,Nhân viên,12.0,17.0,VND,1.0,5.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEFE0C
https://careerbuilder.vn/vi/tim-viec-lam/fresher-data-processing.35BE1D0D.html,fresher data processing,CÔNG TY CỔ PHẦN GONSA,Hồ Chí Minh,2023-11-26,2023-10-28,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BE1D0D
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phat-trien-san-pham-product-owner.35BEFE11.html,chuyên viên phát triển sản phẩm (product owner),CÔNG TY TNHH GIÁO DỤC WEGROW VIỆT NAM,Hà Nội,2023-12-31,2023-11-16,Nhân viên chính thức,15 Tr - 25 Tr VND,Trưởng nhóm / Giám sát,15.0,25.0,VND,1.0,5.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEFE11
https://careerbuilder.vn/vi/tim-viec-lam/data-operation-engineer.35BDFDC0.html,data operation engineer,Công Ty CP Chứng Khoán VNDIRECT,Hà Nội,2023-12-10,2023-11-11,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,1.0,3.0,năm,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDFDC0
https://careerbuilder.vn/vi/tim-viec-lam/data-intelligent-analyst-plant-coordinator-thuong-tin-ha-noi.35BDD972.html,"data intelligent analyst & plant coordinator - thường tín, hà nội",Coca-Cola,Hà Nội,2023-11-20,2023-10-22,Thời vụ/ Nghề tự do,Cạnh tranh,Nhân viên,,,,1.0,10.0,năm,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDD972
https://careerbuilder.vn/vi/tim-viec-lam/ecommerce-executive-intern.35BA263F.html,ecommerce executive intern,Adtek - Growth Marketing Agency,Hồ Chí Minh,2023-12-17,2023-11-17,Thực tập,Cạnh tranh,Sinh viên/ Thực tập sinh,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BA263F
https://careerbuilder.vn/vi/tim-viec-lam/data-intern.35BEEEAE.html,data intern,Công ty CP Thành Thành Công - Biên Hòa,Hồ Chí Minh,2023-12-08,2023-11-08,Thực tập,Cạnh tranh,Sinh viên/ Thực tập sinh,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEEEAE
https://careerbuilder.vn/vi/tim-viec-lam/business-development-executive-zalopay-global-partnership.35BEFC27.html,business development executive (zalopay - global partnership),Công Ty Cổ Phần VNG,Hồ Chí Minh,2023-12-15,2023-11-15,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,1.0,3.0,năm,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEFC27
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-tu-van-trai-nghiem-khach-hang-truc-tuyen.35BEF3D9.html,nhân viên tư vấn trải nghiệm khách hàng trực tuyến,TECHCOMBANK,Hồ Chí Minh,2023-12-10,2023-11-10,Nhân viên chính thức,14 Tr - 17 Tr VND,Nhân viên,14.0,17.0,VND,,,,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEF3D9
https://careerbuilder.vn/vi/tim-viec-lam/operational-excellence-team-leader.35BEFB79.html,operational excellence team leader,Công ty Cổ phần Dịch vụ Di Động Trực tuyến (Ví MoMo),Hồ Chí Minh,2023-12-14,2023-11-15,Nhân viên chính thức,Cạnh tranh,Trưởng nhóm / Giám sát,,,,3.0,4.0,năm,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEFB79
https://careerbuilder.vn/vi/tim-viec-lam/data-engineer.35BF0168.html,data engineer,Yes4All Trading Services Company Limited,Hồ Chí Minh,2023-12-19,2023-11-19,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,1.0,2.0,năm,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BF0168
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-tu-van-trai-nghiem-khach-hang-truc-tuyen.35BEF96B.html,chuyên viên tư vấn trải nghiệm khách hàng trực tuyến,TECHCOMBANK,Hồ Chí Minh,2023-12-14,2023-11-14,Nhân viên chính thức,Trên14 Tr VND,Nhân viên,14.0,,VND,3.0,,năm,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BEF96B
https://careerbuilder.vn/vi/tim-viec-lam/data-engineer.35BDE963.html,data engineer,CÔNG TY TNHH GIMASYS,Hà Nội,2023-12-01,2023-11-02,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,1.0,3.0,năm,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDE963
https://careerbuilder.vn/vi/tim-viec-lam/truong-phong-truong-bo-phan-phan-tich-khai-thac-du-lieu.35BDABE2.html,"trưởng phòng/trưởng bộ phận phân tích, khai thác dữ liệu",Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,2023-11-24,2023-10-26,Thời vụ/ Nghề tự do,Cạnh tranh,Quản lý,,,,8.0,12.0,năm,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35BDABE2
https://careerbuilder.vn/vi/tim-viec-lam/senior-inventory-controller.35BEEBA7.html,senior inventory controller,Công ty TNHH Onpoint,Hồ Chí Minh,2023-11-30,2023-11-14,Nhân viên chính thức,Cạnh tranh,Nhân viên,,,,2.0,4.0,năm,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35BEEBA7
https://careerbuilder.vn/vi/tim-viec-lam/trade-marketing-team-lead-kenh-horeca.35BEFC6D.html,trade marketing team lead (kênh horeca),CÔNG TY CỔ PHẦN ONE MOUNT GROUP,Hà Nội,2023-12-28,2023-11-16,Nhân viên chính thức,Cạnh tranh,Trưởng nhóm / Giám sát,,,,2.0,3.0,năm,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35BEFC6D
