job_link,job_title,comp_name,location,expire_date,update_date,industry,staff_type,salary,exp,job_level,Phương thức làm việc
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-mua-hang-trung-quoc.35BD8ECC.html,Chuyên viên Mua hàng Trung Quốc,CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU VIỆT ANH,Hà Nội,Cơ hội ứng tuyển chỉ còn: 6 ngày,['10-09-2023'],"Kế toán / Kiểm toán, Xuất nhập khẩu, Thu mua / Vật tư",Nhân viên chính thức,12 Tr - 15 Tr VND,1 - 3 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/cam-giang-hai-duong-co-xe-dua-don-truong-nhom-xuat-nhap-khau-15tr-21tr-23086.35BD8E8B.html,"[Cẩm Giàng, Hải Dương có xe đưa đón] Trưởng nhóm Xuất Nhập khẩu (15tr - 21tr) (23086)","Hanoi Branch - Reeracoen Vietnam Co., Ltd",Hải Dương,Cơ hội ứng tuyển chỉ còn: 6 ngày,['10-09-2023'],"Bán hàng / Kinh doanh, Xuất nhập khẩu, Sản xuất / Vận hành sản xuất",Nhân viên chính thức,15 Tr - 21 Tr VND,5 - 10 Năm,Trưởng nhóm / Giám sát,nan
https://careerbuilder.vn/vi/tim-viec-lam/shipping-and-receiving-leader-nhon-trach.35BD8EA7.html,Shipping and Receiving Leader (Nhơn Trạch),Summit Polymers Vietnam Co Ltd.,Đồng Nai,Cơ hội ứng tuyển chỉ còn: 6 ngày,['10-09-2023'],"Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Trưởng nhóm / Giám sát,nan
https://careerbuilder.vn/vi/tim-viec-lam/cam-giang-hai-duong-nhan-vien-xuat-nhap-khau-8-5tr-11-5tr-23087.35BD8EA8.html,"[Cẩm Giàng, Hải Dương] Nhân viên xuất nhập khẩu (8,5tr - 11,5tr) (23087)","Hanoi Branch - Reeracoen Vietnam Co., Ltd",Hải Dương,Cơ hội ứng tuyển chỉ còn: 6 ngày,['10-09-2023'],"Bán hàng / Kinh doanh, Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,"8,5 Tr - 11,5 Tr VND",1 - 3 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-logistics.35BD8E78.html,Nhân Viên Kinh Doanh Logistics,CÔNG TY CỔ PHẦN TIẾP VẬN INTERCARGO,Hà Nội,Cơ hội ứng tuyển chỉ còn: 6 ngày,['10-09-2023'],"Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu, Bán hàng / Kinh doanh","Nhân viên chính thức, Bán thời gian",7 Tr - 25 Tr VND,1 - 5 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/sales-admin-logistics-staff.35BD8E7E.html,Sales Admin Logistics Staff,CÔNG TY CỔ PHẦN TIẾP VẬN INTERCARGO,Hải Phòng,Cơ hội ứng tuyển chỉ còn: 6 ngày,['10-09-2023'],"Vận chuyển / Giao nhận /Kho vận, Hàng hải, Xuất nhập khẩu",Nhân viên chính thức,7 Tr - 20 Tr VND,1 - 2 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/warehouse-supervisor.35BDC1C2.html,Warehouse Supervisor,Schenker Vietnam Co. Ltd,Bình Dương,Cơ hội ứng tuyển chỉ còn: 4 ngày,['09-09-2023'],"Y tế / Chăm sóc sức khỏe, Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Trưởng nhóm / Giám sát,nan
https://careerbuilder.vn/vi/tim-viec-lam/quan-ly-don-hang-cham-soc-khach-hang-sale-support.35BDC19D.html,Quản lý đơn hàng - chăm sóc khách hàng (Sale Support),CÔNG TY TNHH TM DV ÂU CHÂU,Hồ Chí Minh,Hạn nộp: 15-10-2023,['09-09-2023'],"Bán hàng / Kinh doanh, Dịch vụ khách hàng, Xuất nhập khẩu",Nhân viên chính thức,12 Tr - 15 Tr VND,3 - 5 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-chung-tu-xuat-nhap-khau-tieng-trung.35BD4E83.html,Nhân Viên Chứng Từ Xuất Nhập Khẩu (Tiếng Trung),Headhunter HRchannels Group,Hồ Chí Minh,Cơ hội ứng tuyển chỉ còn: 5 ngày,['09-09-2023'],"Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu, Kế toán / Kiểm toán",Nhân viên chính thức,Trên650 USD,2 - 5 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-mua-hang-my-pham.35BD4E7C.html,Chuyên viên Mua hàng Mỹ phẩm,Công ty TNHH Thiên Thủy Mộc,Hà Nội,Cơ hội ứng tuyển chỉ còn: 5 ngày,['09-09-2023'],"Xuất nhập khẩu, Thu mua / Vật tư",Nhân viên chính thức,9 Tr - 15 Tr VND,3 - 5 Năm,Nhân viên,nan
