job_link,job_title,comp_name,location,expire_date,update_date,industry,salary,staff_type,job_level,exp,Phương thức làm việc
https://careerbuilder.vn/vi/tim-viec-lam/senior-digital-specialist.35BDA84F.html,Senior Digital Specialist,Techtronic Industries Vietnam (TTI),Hồ Chí Minh,Cơ hội ứng tuyển chỉ còn: 2 ngày,['24-10-2023'],"Cơ khí / Ô tô / Tự động hóa, Dịch vụ khách hàng, In ấn / Xuất bản",Cạnh tranh,Nhân viên chính thức,Nhân viên,3 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-co-so-du-lieu-database-administrator.35BDEACF.html,Chuyên viên Quản trị cơ sở dữ liệu (Database Administrator),CÔNG TY TÀI CHÍNH BƯU ĐIỆN,Hà Nội,Hạn nộp: 01-12-2023,['02-11-2023'],"Ngân hàng, Tài chính / Đầu tư, CNTT - Phần mềm",18 Tr - 23 Tr VND,Nhân viên chính thức,Nhân viên,1 - 3 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/internet-banking-staff.35BEFB2E.html,Internet Banking Staff,DIGI-TEXX VIETNAM,Hồ Chí Minh,Hạn nộp: 15-12-2023,['15-11-2023'],"Dịch vụ khách hàng, Ngân hàng",14 Tr - 16 Tr VND,Nhân viên chính thức,Nhân viên,3 - 5 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/corporate-planning-executive.35BEEB09.html,Corporate Planning Executive,CÔNG TY TNHH KINH DOANH LỐP XE BRIDGESTONE VIỆT NAM,Hồ Chí Minh,Hạn nộp: 30-11-2023,['16-11-2023'],"Bán lẻ / Bán sỉ, Kế toán / Kiểm toán, Thống kê",Cạnh tranh,Nhân viên chính thức,Nhân viên,2 - 5 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/bim-developer.35BE0168.html,BIM Developer,Công ty TNHH Willtec Việt Nam,Hà Nội,Hạn nộp: 11-12-2023,['12-11-2023'],"Kiến trúc, Xây dựng",Trên25 Tr VND,Nhân viên chính thức,Nhân viên,2 - 5 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/dong-da-ha-noi-l-d-specialist.35BDC2AB.html,[Đống Đa - Hà Nội] L&D Specialist,TALENTNET CORPORATION,Hà Nội,Hạn nộp: 10-12-2023,['11-11-2023'],"Bán lẻ / Bán sỉ, Hành chính / Thư ký, Nhân sự",15 Tr - 18 Tr VND,Nhân viên chính thức,Nhân viên,1 - 3 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/cv-nv-quan-tri-co-so-du-lieu-dba-khoi-cntt.35BEF9EE.html,CV/NV QUẢN TRỊ CƠ SỞ DỮ LIỆU (DBA) - KHỐI CNTT,Ngân hàng Việt Nam Thương Tín,Hồ Chí Minh,Hạn nộp: 31-12-2023,['16-11-2023'],"CNTT - Phần mềm,Thống kê,Ngân hàng","10,000,000 - 30,000,000 VND",Nhân viên chính thức,Nhân viên,1 - 3Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/warehouse-inventory-controller.35BE136E.html,Warehouse Inventory Controller,AkzoNobel Vietnam,Bắc Ninh,Cơ hội ứng tuyển chỉ còn: 3 ngày,['13-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Hóa học, Sản xuất / Vận hành sản xuất",Cạnh tranh,Nhân viên chính thức,Nhân viên,3 - 5 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/lead-ai-engineer.35BEE04C.html,Lead AI Engineer,Công Ty Cổ Phần VNG,Hồ Chí Minh,Hạn nộp: 11-12-2023,['15-11-2023'],CNTT - Phần mềm,Cạnh tranh,Nhân viên chính thức,Trưởng nhóm / Giám sát,5 - 8 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/hcm-trade-marketing-executive-experienced.35BDD9AF.html,[HCM] Trade Marketing Executive (Experienced),D1 Concepts Corporation,Hồ Chí Minh,Hạn nộp: 30-11-2023,['01-11-2023'],"Tiếp thị / Marketing, Tiếp thị trực tuyến, Quảng cáo / Đối ngoại / Truyền Thông",10 Tr - 17 Tr VND,Nhân viên chính thức,Nhân viên,2 - 3 Năm,nan
