job_link,job_title,comp_name,location,expire_date,update_date,industry,staff_type,salary,exp,job_level
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-quan-tri-du-lieu-ha-noi-ta083.35BED833.html,Chuyên viên cao cấp Quản trị dữ liệu - Hà Nội - TA083,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Cơ hội ứng tuyển chỉ còn: 1 ngày,['28-11-2023'],"CNTT - Phần mềm, Kế toán / Kiểm toán, Ngân hàng",Nhân viên chính thức,Cạnh tranh,2 - 4 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cvcc-kiem-dinh-mo-hinh-khoi-du-lieu.35BEE569.html,Chuyên viên/CVCC Kiểm định mô hình - Khối Dữ liệu,Ngân Hàng TMCP Quân Đội,Hà Nội,Hạn nộp: 31-12-2023,['24-11-2023'],"CNTT - Phần mềm, Ngân hàng",Nhân viên chính thức,Cạnh tranh,0 - 0 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cvcc-kiem-dinh-mo-hinh-khoi-du-lieu.35BDCD0A.html,Chuyên viên/CVCC Kiểm định mô hình - Khối Dữ liệu,Ngân Hàng TMCP Quân Đội,Hà Nội,Hạn nộp: 14-12-2023,['15-11-2023'],"CNTT - Phần mềm, Ngân hàng",Nhân viên chính thức,Cạnh tranh,0 - 0 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/ban-tai-chinh-ho-hn-truong-phong-quan-tri-du-lieu.35BDD028.html,[Ban Tài chính - HO HN] Trưởng phòng Quản trị dữ liệu,ABBANK - Ngân Hàng TMCP An Bình,Hà Nội,Hạn nộp: 17-12-2023,['18-11-2023'],Ngân hàng,Nhân viên chính thức,Cạnh tranh,10 - 12 Năm,Quản lý
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cvcc-cong-nghe-mo-hinh-khoi-du-lieu.35BDCD03.html,Chuyên viên/CVCC Công nghệ mô hình - Khối Dữ liệu,Ngân Hàng TMCP Quân Đội,Hà Nội,Hạn nộp: 14-12-2023,['15-11-2023'],"CNTT - Phần mềm, Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên1 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cvcc-cong-nghe-mo-hinh-ai-ml-ops-khoi-du-lieu.35BEE56B.html,Chuyên viên/CVCC Công nghệ mô hình (AI/ML Ops) - Khối Dữ liệu,Ngân Hàng TMCP Quân Đội,Hà Nội,Hạn nộp: 31-12-2023,['24-11-2023'],"CNTT - Phần mềm, Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên1 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-quan-tri-du-lieu-hn-ta083.35BDEECE.html,Chuyên Viên cao cấp Quản trị dữ liệu - HN - TA083,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,,['04-11-2023'],"CNTT - Phần mềm, Ngân hàng, Kế toán / Kiểm toán",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-chuyen-gia-quan-tri-du-lieu-hn-ta083.35BF14BB.html,"Chuyên Viên cao cấp/ Chuyên gia Quản trị dữ liệu - HN - TA083
                                                                (Mới)",Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Hạn nộp: 25-12-2023,['29-11-2023'],"CNTT - Phần mềm, Ngân hàng, Kế toán / Kiểm toán",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-co-so-du-lieu-phong-mis-khoi-tai-chinh-ke-toan.35BDC031.html,"Chuyên viên quản trị cơ sở dữ liệu, Phòng MIS, Khối Tài chính kế toán",Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Hạn nộp: 07-12-2023,['08-11-2023'],Ngân hàng,Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-co-so-du-lieu-phong-mis-khoi-tai-chinh-ke-toan.35BE13C6.html,"Chuyên viên quản trị cơ sở dữ liệu, Phòng MIS, Khối Tài chính kế toán",Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Hạn nộp: 22-12-2023,['23-11-2023'],Ngân hàng,Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cvcc-phan-tich-khach-hang-ca-nhan-khoi-du-lieu.35BDEB5F.html,Chuyên viên/CVCC Phân tích Khách hàng cá nhân - Khối Dữ liệu,Ngân Hàng TMCP Quân Đội,Hà Nội,Cơ hội ứng tuyển chỉ còn: 3 ngày,['02-11-2023'],"CNTT - Phần mềm, Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên2 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-phan-tich-va-tich-hop-du-lieu-intergration-engineering.35BDFE60.html,Chuyên viên cao cấp phân tích và tích hợp dữ liệu (Intergration Engineering),Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Hạn nộp: 10-12-2023,['11-11-2023'],"CNTT - Phần cứng / Mạng, CNTT - Phần mềm, Nhân sự",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-phan-tich-va-tich-hop-du-lieu-intergration-engineering.35BDBCB2.html,Chuyên viên cao cấp phân tích và tích hợp dữ liệu (Intergration Engineering),Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Hạn nộp: 06-12-2023,['07-11-2023'],"CNTT - Phần cứng / Mạng, CNTT - Phần mềm, Nhân sự",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-phan-tich-va-tich-hop-du-lieu-intergration-engineering.35BEEC2C.html,Chuyên viên cao cấp phân tích và tích hợp dữ liệu (Intergration Engineering),Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Cơ hội ứng tuyển chỉ còn: 1 ngày,['28-11-2023'],"CNTT - Phần cứng / Mạng, CNTT - Phần mềm, Nhân sự",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-chuyen-vien-chinh-phan-tich-du-lieu-kinh-doanh-bi-analytics.35BF13E7.html,"Chuyên viên/Chuyên viên chính phân tích dữ liệu kinh doanh (BI analytics)
                                             (Mới)",Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,Hạn nộp: 28-12-2023,['28-11-2023'],"CNTT - Phần mềm, Ngân hàng, Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/ho-cv-cvcc-phan-tich-du-lieu-bao-cao-khoi-ban-le-mis.35BEF945.html,"HO - CV/CVCC Phân tích dữ liệu báo cáo, khối Bán lẻ (MIS)",Ngân Hàng TMCP Phương Đông - OCB,Hồ Chí Minh,Hạn nộp: 31-12-2023,['28-11-2023'],"CNTT - Phần mềm, Ngành khác, Thống kê",Nhân viên chính thức,Cạnh tranh,Trên2 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-phan-tich-du-lieu-ke-hoach-lam-viec-tai-aa-tay-ninh.35BDE363.html,Nhân viên phân tích dữ liệu kế hoạch - Làm việc tại AA Tây Ninh,AA Tây Ninh,Tây Ninh,Hạn nộp: 26-12-2023,['27-11-2023'],"Kế toán / Kiểm toán, Thống kê, Nội ngoại thất",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/cvcc-quan-tri-du-lieu-mo-hinh-aiml-ha-noi-ta139.35BF101B.html,"CVCC Quản trị dữ liệu Mô hình AIML - Hà Nội - TA139
                                             (Mới)",Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Cơ hội ứng tuyển chỉ còn: 1 ngày,['27-11-2023'],"CNTT - Phần mềm, Ngân hàng, Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/cv-cvc-cvcc-phan-tich-du-lieu-nhan-su-ha-noi-ta050.35BF14AC.html,"CV/CVC/CVCC Phân tích dữ liệu nhân sự - Hà Nội - TA050
                                             (Mới)",Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Hạn nộp: 31-01-2024,['29-11-2023'],"Bán hàng / Kinh doanh, Ngân hàng, Hành chính / Thư ký",Nhân viên chính thức,Cạnh tranh,2 - 4 Năm,Nhân viên
