job_link,job_title,comp_name,location,expire_date,update_date,industry,staff_type,salary,exp,job_level,Phương thức làm việc
https://careerbuilder.vn/vi/tim-viec-lam/thu-kho-lam-viec-tai-van-lam-hung-yen.35BEEC09.html,"Thủ Kho Làm Việc Tại Văn Lâm - Hưng Yên
                                                                (Mới)",Công Ty CP XNK Hóa Chất & Thiết Bị Kim Ngưu,Hưng Yên,Hạn nộp: 31-12-2023,['07-11-2023'],Vận chuyển / Giao nhận /Kho vận,Nhân viên chính thức,9 Tr - 11 Tr VND,1 - 2 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-kho-warehouse-staff.35BEEBF9.html,"Nhân viên Kho / Warehouse Staff
                                                                (Mới)",Tập đoàn Giáo dục Đại Trường Phát,Hồ Chí Minh,Hạn nộp: 16-11-2023,['07-11-2023'],"Bưu chính viễn thông, Vận chuyển / Giao nhận /Kho vận",Nhân viên chính thức,Cạnh tranh,Trên1 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/truong-nhom-kho-van-hcm.35BEEBD5.html,"Trưởng Nhóm Kho Vận HCM
                                                                (Mới)",công ty Toshiko Việt Nam,Hồ Chí Minh,Hạn nộp: 06-12-2023,['07-11-2023'],nan,nan,nan,nan,nan,nan
https://careerbuilder.vn/vi/tim-viec-lam/senior-inventory-controller.35BEEBA7.html,"SENIOR INVENTORY CONTROLLER
                                                                (Mới)",Công ty TNHH Onpoint,Hồ Chí Minh,Hạn nộp: 30-11-2023,['07-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Kế toán / Kiểm toán, Thu mua / Vật tư",Nhân viên chính thức,Cạnh tranh,2 - 4 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/thu-kho.35BEEB9E.html,"THỦ KHO
                                                                (Mới)",Công Ty TNHH TM & XNK Nhất Lâm,Hồ Chí Minh,Hạn nộp: 10-12-2023,['07-11-2023'],Vận chuyển / Giao nhận /Kho vận,Nhân viên chính thức,9 Tr - 12 Tr VND,1 - 3 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-kho-binh-duong.35BEEB9A.html,"Nhân Viên Kho – Bình Dương
                                                                (Mới)",CÔNG TY TNHH TÚ PHƯỢNG TONY,Bình Dương,Hạn nộp: 07-12-2023,['07-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Lao động phổ thông",Nhân viên chính thức,7 Tr - 9 Tr VND,nan,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/data-inventory-supervisor.35BEEB97.html,"Data & Inventory Supervisor
                                                                (Mới)",DHL Supply Chain (Việt Nam) Ltd,Bình Dương,Hạn nộp: 30-11-2023,['07-11-2023'],Vận chuyển / Giao nhận /Kho vận,Nhân viên chính thức,Trên15 Tr VND,2 - 5 Năm,Trưởng nhóm / Giám sát,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-thu-tuc-hai-quan-xuat-nhap-khau.35BEEB5B.html,"NHÂN VIÊN THỦ TỤC HẢI QUAN XUẤT NHẬP KHẨU
                                                                (Mới)",CÔNG TY TNHH KINGFISHER LOGISTICS,Hồ Chí Minh,Hạn nộp: 06-12-2023,['07-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu, Sản xuất / Vận hành sản xuất",Nhân viên chính thức,7 Tr - 18 Tr VND,Trên1 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/tai-xe-giam-doc-quan-7.35BEEACC.html,"Tài xế Giám đốc (Quận 7)
                                                                (Mới)",Concung.com - Con Cung Joint Stock Company,Hồ Chí Minh,Hạn nộp: 07-12-2023,['07-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Lao động phổ thông",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/to-truong-to-kho-cn-dang-toan-hau-giang.35BEEAAB.html,"Tổ Trưởng Tổ Kho CN Đặng Toàn - Hậu Giang
                                                                (Mới)",CÔNG TY CP TẬP ĐOÀN DẦU KHÍ ANPHA PETROL,Hậu Giang,Hạn nộp: 10-12-2023,['07-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Kế toán / Kiểm toán, Sản xuất / Vận hành sản xuất",Nhân viên chính thức,9 Tr - 11 Tr VND,3 - 5 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/assistant-customs-clearance-manager.35BDBCE0.html,Assistant Customs Clearance Manager,Indo Trans Logistics,Hồ Chí Minh,Hạn nộp: 06-12-2023,['07-11-2023'],Vận chuyển / Giao nhận /Kho vận,Nhân viên chính thức,Cạnh tranh,7 - 15 Năm,Trưởng nhóm / Giám sát,nan
https://careerbuilder.vn/vi/tim-viec-lam/quan-ly-kho-biet-tieng-trung.35BDBC1C.html,QUẢN LÝ KHO BIẾT TIẾNG TRUNG,CÔNG TY KEY BAY FURNITURE,Bình Dương,Hạn nộp: 06-12-2023,['07-11-2023'],"Sản xuất / Vận hành sản xuất, Thu mua / Vật tư, Vận chuyển / Giao nhận /Kho vận",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Quản lý,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-lai-xe-phuc-vu-cong-trinh.35BDBD41.html,Nhân viên lái xe phục vụ công trình,Công Ty Cổ Phần Tập Đoàn Đèo Cả,"Phú Yên, Ninh Thuận, Quảng Ngãi",Hạn nộp: 06-12-2023,['07-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Lao động phổ thông, Sản xuất / Vận hành sản xuất",Nhân viên chính thức,10 Tr - 14 Tr VND,1 - 3 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-ke-hoach-san-xuat.35BE147B.html,Nhân Viên Kế Hoạch Sản Xuất,Công Ty TNHH Thương Mại Rồng Phương Bắc,Đồng Nai,Hạn nộp: 23-11-2023,['07-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Sản xuất / Vận hành sản xuất, Thu mua / Vật tư",Nhân viên chính thức,Cạnh tranh,Trên3 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-lai-xe-container.35BE0B37.html,Nhân viên lái xe Container,CÔNG TY CỔ PHẦN VẬN TẢI BIỂN CONTAINER THÁI BÌNH DƯƠNG,Hồ Chí Minh,Hạn nộp: 16-12-2023,['07-11-2023'],Vận chuyển / Giao nhận /Kho vận,Nhân viên chính thức,25 Tr - 30 Tr VND,Trên3 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-nong-san.35BE0A36.html,Nhân viên kinh doanh nông sản,Công ty TNHH Hà Dũng,Hà Nội,,['07-11-2023'],"Bán hàng / Kinh doanh, Vận chuyển / Giao nhận /Kho vận",Nhân viên chính thức,Cạnh tranh,nan,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-cuoc-hang-khong-sales-coload.35BE0AC5.html,Nhân viên kinh doanh cước hàng không (Sales Coload),Indo Trans Logistics,Hồ Chí Minh,Hạn nộp: 30-11-2023,['07-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/sales-executive_gloves.35BE0A83.html,Sales Executive_Gloves,CÔNG TY TNHH GĂNG TAY SRI TRANG VIỆT NAM,Hồ Chí Minh,Hạn nộp: 17-11-2023,['07-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Quản lý điều hành, Xuất nhập khẩu",Nhân viên chính thức,9 Tr - 11 Tr VND,Chưa có kinh nghiệm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/thuc-tap-sinh-kho-nguyen-lieu.35BE0957.html,Thực Tập Sinh Kho Nguyên Liệu,CÔNG TY CỔ PHẦN THỰC PHẨM HỮU NGHỊ,"Bắc Ninh, Hà Nội",Hạn nộp: 17-11-2023,['07-11-2023'],"Vận chuyển / Giao nhận /Kho vận, Mới tốt nghiệp / Thực tập",Thực tập,Cạnh tranh,nan,Sinh viên/ Thực tập sinh,nan
